Run ID,Cores,Sim Duration,PERSEPHONE_OVERHEAD,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Slowdown 99%,Slowdown99.9%,latency_short 99.9%,latency_long 99.9%,50% latency_short,50% latency_long,Tasks Stolen,Average Number of Steals,Throughput
o-Virtual-Machine_23-03-17_15:14:20_t0,16,100000000,200,1000,1,99.99463149166017,9.543992421190929,0.0,1844.0,101741.61100000003,1001.0,6203.109999999986,5.447,6.865148000000045,6867.030000000013,106245.17200000005,1001.0,101103.0,0.0,0,1025556.2344769848
o-Virtual-Machine_23-03-17_15:14:20_t1,16,100000000,200,1000,1,99.99167622794528,19.164747382930837,0.0,3742.399999999994,102705.44000000006,1001.0,6697.880000000005,6.299,6.999488000000012,7000.0,108854.99600000003,1001.0,101844.5,0.0,0,2084163.0163395503
o-Virtual-Machine_23-03-17_15:14:20_t2,16,100000000,200,1000,1,99.9895785041887,29.359434838596194,0.0,5125.0,103826.66800000006,1001.0,6901.0,6.68,7.503668000000063,7507.0,111064.408,1001.0,102689.0,0.0,0,3189138.67872328
o-Virtual-Machine_23-03-17_15:14:20_t3,16,100000000,200,1000,1,99.98827693579176,38.96216264127644,0.0,5751.299999999988,104969.85800000007,1001.0,7016.859999999986,6.852,7.8092860000000215,7812.145000000019,111977.55,1001.0,103443.0,0.0,0,4266456.02900605
o-Virtual-Machine_23-03-17_15:14:20_t4,16,100000000,200,1000,1,99.98690462716155,49.4347400447397,0.0,6194.0,106722.57600000012,1001.0,7409.0,6.991,8.208576000000118,8212.310000000056,114567.64400000013,1001.0,104447.0,0.0,0,5382079.630302061
o-Virtual-Machine_23-03-17_15:14:20_t5,16,100000000,200,1000,1,99.9870613117314,59.10901025595338,0.0,6508.0,108797.0,1465.0,7775.800000000047,7.383,8.702,8703.94200000004,119201.10100000002,1453.0,105654.5,0.0,0,6494152.731058093
o-Virtual-Machine_23-03-17_15:14:20_t6,16,100000000,200,1000,1,99.98623774298984,64.26623715094868,0.0,6642.0,110471.9160000002,1701.0,7941.0,7.547,8.937374000000302,8940.456000000122,142984.198,1691.0,106705.5,0.0,0,7063918.620975123
o-Virtual-Machine_23-03-17_15:14:20_t7,16,100000000,200,1000,1,99.98640994866378,68.78196153371626,0.0,6763.0,112106.46700000006,1896.0,8167.0,7.727,9.248,9251.0,139563.11800000002,1887.0,108096.0,0.0,0,7607030.525231195
o-Virtual-Machine_23-03-17_15:14:20_t8,16,100000000,200,1000,1,99.98647864687634,74.5788649705147,0.0,6930.0,115658.75200000033,2295.0,8584.0,8.061,9.783376000000164,9787.0,165047.2150000001,2277.0,109810.5,0.0,0,8177062.386310349
o-Virtual-Machine_23-03-17_15:14:20_t9,16,100000000,200,1000,1,99.98583185887121,79.72633064143663,0.0,7096.0,124057.85000000079,2757.0,8884.0,8.324,10.183170000000159,10186.0,191135.18000000046,2738.0,112628.5,0.0,0,8758335.465863321
o-Virtual-Machine_23-03-17_15:41:23_t0,16,100000000,200,1000,1,99.98637301758528,84.64713657407984,0.0,7332.0,139177.61700000265,3265.0,9199.0,8.615,10.455573000000092,10459.006000000285,285198.41900000157,3245.0,117445.0,0.0,0,9294793.562626593
o-Virtual-Machine_23-03-17_15:41:23_t1,16,100000000,200,1000,1,99.98623358193916,89.84584460123983,0.0,7585.0,171419.44000003126,3794.0,9682.119999999995,9.002119999999996,11.195,11202.0,378616.1750000008,3775.0,128383.5,0.0,0,9854816.005943652
o-Virtual-Machine_23-03-17_15:41:23_t2,16,100000000,200,1000,1,99.9862432790107,94.8228235669684,0.0,7896.0,268676.0800000052,4306.0,10211.0,9.472,11.887,11890.0,726475.8760000017,4289.0,167772.0,0.0,0,10410750.079622217
o-Virtual-Machine_23-03-17_15:41:23_t3,16,100000000,200,1000,1,99.98710608512867,99.68677018192821,0.0,8308.0,2610238.284000124,4792.0,10799.579999999958,10.3770058,26.102382840001237,12649.0,3514059.0370000005,4776.0,1095928.5,0.0,0,10953163.746965265
o-Virtual-Machine_23-03-17_15:41:23_t4,16,100000000,200,1000,1,99.98703607216765,99.94441988166479,0.0,8577.0,16712664.212000147,4921.0,11166.0,11.132,167.12664212000146,13662.936000000103,24453304.847000003,4909.0,11373047.0,0.0,0,11396887.987949602
o-Virtual-Machine_23-03-17_15:41:23_t5,16,100000000,200,1000,1,99.9873730396183,99.98825899172962,0.0,8892.0,27272370.042001177,5028.0,11581.0,11.566,272.72370042001177,14383.79600000009,42087759.120000005,5020.0,20507575.0,0.0,0,11828403.519660348
o-Virtual-Machine_23-03-17_15:41:23_t6,16,100000000,200,1000,1,99.98696409748956,99.98970594715281,0.0,9419.0,29284669.61600505,5197.0,12348.0,12.343,292.8466961600505,15700.0,53429068.156,5190.0,27104256.0,0.0,0,12231586.31306298
o-Virtual-Machine_23-03-17_15:41:23_t7,16,100000000,200,1000,1,99.98670613338784,99.98596246049398,0.0,9935.0,21331934.01200752,5379.0,13056.0,13.05,213.31934012007522,16804.19200000004,67927987.54200001,5374.0,34070919.0,0.0,0,12656445.105545659
o-Virtual-Machine_23-03-17_15:41:23_t8,16,100000000,200,1000,1,99.98725790460958,99.98637884933986,0.0,10623.0,26776.89200000558,5572.0,14151.889999999898,14.146,24.353778000000396,18455.0,76873839.98900001,5569.0,36457461.5,0.0,0,13086958.618056625
o-Virtual-Machine_23-03-17_15:41:23_t9,16,100000000,200,1000,1,99.98678122206988,99.98971614408767,0.0,11830.0,23259.57600000035,5871.0,16027.439999999944,16.025439999999943,23.243144000000086,21389.300000000512,84983200.23500001,5869.0,38147803.0,0.0,0,13508857.116140813
o-Virtual-Machine_23-03-17_16:16:58_t0,16,100000000,200,1000,1,99.9863723460601,99.97852561080616,0.0,13409.0,27192.762000001967,6272.0,18520.0,18.519,27.159710000000896,26243.705000000075,90781724.362,6271.0,43293358.0,0.0,0,13933635.393931922
o-Virtual-Machine_23-03-17_16:16:58_t1,16,100000000,200,1000,1,99.98638206476994,99.99655094690195,0.0,15614.0,31208.162000000477,6734.0,21704.0,21.703,31.19440500000119,30744.714000000386,95728185.416,6733.0,51405485.0,0.0,0,14325123.783259634
o-Virtual-Machine_23-03-17_16:16:58_t2,16,100000000,200,1000,1,99.98646605761562,99.9950356428261,0.0,19467.0,39161.06400000537,7564.0,27403.0,27.402,39.125824000000485,38961.91300000041,97094894.194,7564.0,43274008.0,0.0,0,14752152.75136549
