Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Slowdown 99%,Slowdown99.9%,latency_short 99.9%,latency_long 99.9%,Tasks Stolen,Average Number of Steals,Throughput
3-02-12_12:21:44_t0,14,100000000,1000,0.05,99.99315203,5.355866181,0,1218.9,100001,1001,74277.46,48.93472,95.330162,95382.624,189490.315,0,0,502027.8112
3-02-12_12:21:44_t1,14,100000000,1000,0.1,99.998803,10.72601963,0,1942,100781.24,1001,89716.32,76.8202,99.949864,99958.972,198314.27,0,0,999527.7711
3-02-12_12:21:44_t2,14,100000000,1000,0.15,99.999179,15.90829647,0,25672.15,132233.493,1001,95327.91,86.27889,123.648968,123746.291,254023.802,0,0,1495017.204
3-02-12_12:21:44_t3,14,100000000,1000,0.2,99.99982,21.56507364,0,52085.6,169127.454,1001,100001,94.27282,164.065198,164115.805,252005.58,0,0,1997026.425
3-02-12_12:21:44_t4,14,100000000,1000,0.25,99.999782,26.89595837,0,65502.35,174105.372,1001,100001,98.19127,169.157788,169343.6,263988.215,0,0,2510740
3-02-12_12:21:44_t5,14,100000000,1000,0.3,99.999304,31.87319488,0,73843.3,181461.226,1001,106819.12,102.8493,178.13018,178154.946,232556.273,0,0,3001935.291
3-02-12_12:21:44_t6,14,100000000,1000,0.35,99.999813,37.52872481,0,81818.7,189173.27,1001,120520.08,117.13684,185.639398,185886.498,285246.412,0,0,3510862.627
3-02-12_12:21:44_t7,14,100000000,1000,0.4,99.999621,42.40684813,0,88332,208641.705,1001,140242.65,137.78735,206.15518,206390.17,315345.992,0,0,4007359.118
3-02-12_12:21:44_t8,14,100000000,1000,0.45,99.999818,48.34783284,0,96088,245205.586,1001,164201.34,162.14351,243.272192,243488.036,320085.56,0,0,4507075.403
3-02-12_12:21:44_t9,14,100000000,1000,0.5,99.999561,53.84239257,0,102490.85,293599.843,1239,188173.56,186.22295,291.353617,291657.3,408207.44,0,0,5017602.438
3-02-12_12:21:44_t10,14,100000000,1000,0.55,99.999932,59.01694691,0,125532.85,314283.92,1523,207881.55,206.002,312.871573,313287.524,414788.53,0,0,5514633.107
3-02-12_12:21:44_t11,14,100000000,1000,0.6,99.999818,63.83396861,0,138589.7,377596.208,1758,231260.82,229.55792,375.993456,376160.48,460907.015,0,0,6013182.063
3-02-12_12:21:44_t12,14,100000000,1000,0.65,99.999962,69.668286,0,170101.1,408126.274,2215,271339.78,269.9642,406.821488,406945.08,479315.175,0,0,6514383.355
3-02-12_12:21:44_t13,14,100000000,1000,0.7,99.999966,74.9487948,0,208693,518964.84,4723,328149.84,326.6332,518.073,518398.207,601813.484,0,0,7012064.757
3-02-12_12:21:44_t14,14,100000000,1000,0.75,99.999632,79.80021189,0,257777.5,591272.05,27705,401365.9,399.8396,590.0317,590285.976,663383.1,0,0,7518101.279
3-02-12_12:21:44_t15,14,100000000,1000,0.8,99.999975,85.85528627,0,378898.25,739715.43,64048.5,562415.73,560.80889,738.649085,738973.709,805326.969,0,0,8013577.275
3-02-12_12:21:44_t16,14,100000000,1000,0.85,99.999964,90.99040478,0,595142.1,1081632.446,108457,858327.4,857.27068,1080.790422,1080958.862,1148933.688,0,0,8513580.124
3-02-12_12:21:44_t17,14,100000000,1000,0.9,99.999847,95.94764451,0,1385289.8,2669393.616,244319,2245442.76,2243.89252,2668.85208,2669334.133,2707050.894,0,0,9003846.128
3-02-12_12:21:44_t18,14,100000000,1000,0.95,99.999973,99.29789579,0,3684737.25,4989259.55,1040925,4349375.25,4347.889,4988.469,4988866.824,5045364.616,0,0,9297753.306
3-02-12_12:21:44_t19,14,100000000,1000,1,99.999995,99.82019668,0,7602590.65,9951645.097,3525225,9595737.82,9590.81793,9950.894966,9951395.308,9983488.48,0,0,9356035.041
