Run ID,Cores,Sim Duration,PERSEPHONE_OVERHEAD,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Slowdown 99%,Slowdown99.9%,latency_short 99.9%,latency_long 99.9%,50% latency_short, 50% latency_long,Tasks Stolen,Average Number of Steals,Throughput, orphan_count, orphan time 99.9%Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description, 99% Idle Interval
o-Virtual-Machine_23-03-22_09:54:09_t0,16,100000000,200,1000,1,99.99962500031499,27.656770228260868,0.0,65153.60000000009,175742.28000000358,1001.0,100001.0,97.69664000000002,172.51776800000093,172553.31600000034,271668.1080000037,1001.0,100001.0,0.0,0,3007367.4738113224,0,0,18.796046711320763,0.0,0,0,1004704622,0,442347723,0,365713964,816628112,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6373.801161812481,0,0,0,0,0,0,"dfcfs_30",5160.55
o-Virtual-Machine_23-03-22_09:54:09_t1,16,100000000,200,1000,1,99.99903700074151,28.064643123686345,0.0,66488.59999999998,174678.44000000344,1001.0,100001.0,97.80131999999995,170.47213600000367,170559.33500000142,259962.48400000174,1001.0,100001.0,0.0,0,3003847.6870372808,0,0,18.774048043983004,0.0,0,0,1013486123,0,448869271,0,338411846,837445399,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6492.129310717912,0,0,0,0,0,0,"dfcfs_30",5343.55
o-Virtual-Machine_23-03-22_09:54:09_t2,16,100000000,200,1000,1,99.99971900078961,28.12819831568449,0.0,68754.70000000007,172702.450000001,1001.0,100001.0,98.72527000000007,167.28428300000175,167328.07800000004,256993.780000001,1001.0,100001.0,0.0,0,2994911.584298448,0,0,18.7181974018653,0.0,0,0,1022541765,0,449889947,0,318152297,856486692,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6779.416144671644,0,0,0,0,0,0,"dfcfs_30",5206.1
o-Virtual-Machine_23-03-22_09:54:09_t3,16,100000000,200,1000,1,99.99989800028763,27.96713849472516,0.0,65730.25,178643.75500000198,1001.0,100001.0,98.12224999999994,174.53023500000242,174621.87000000256,281160.00000000116,1001.0,100001.0,0.0,0,3005951.5232167044,0,0,18.787197020104404,0.0,0,0,1002442377,0,447314417,0,354562010,822755885,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6469.854489081691,0,0,0,0,0,0,"dfcfs_30",5197.7
o-Virtual-Machine_23-03-22_09:54:09_t4,16,100000000,200,1000,1,99.99952700069531,28.216617893513245,0.0,68465.0,171478.88000000012,1001.0,100320.76000000001,99.26564000000002,167.95556800000043,168001.0610000029,217984.64800000025,1001.0,100001.0,0.0,0,3015125.5677654156,0,0,18.844534798533846,0.0,0,0,1008137771,0,451302382,0,333048296,840217878,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6778.154252055467,0,0,0,0,0,0,"dfcfs_30",5273.95
o-Virtual-Machine_23-03-22_09:54:09_t5,16,100000000,200,1000,1,99.99998100002793,28.199589953182674,0.0,68884.39999999997,176997.28000000236,1001.0,100371.47999999998,99.49095999999996,172.55194400000596,172761.06200000097,251545.02800000014,1001.0,100001.0,0.0,0,3002525.586287388,0,0,18.765784914296177,0.0,0,0,1010582575,0,451032302,0,332001226,841564098,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6844.547718091077,0,0,0,0,0,0,"dfcfs_30",5269.8
o-Virtual-Machine_23-03-22_09:54:09_t6,16,100000000,200,1000,1,99.99991100018867,27.938431690326137,0.0,67121.40000000002,174910.46400000632,1001.0,100170.52000000008,99.1623600000001,170.26864000000367,170389.08000000234,267340.933000005,1001.0,100001.0,0.0,0,3002163.6354130926,0,0,18.763522721331828,0.0,0,0,1008933322,0,446855052,0,343758350,833963584,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6604.284234403781,0,0,0,0,0,0,"dfcfs_30",5178.2
o-Virtual-Machine_23-03-22_09:54:09_t7,16,100000000,200,1000,1,99.99984300023236,28.064228969707678,0.0,66374.75,174228.7500000049,1001.0,100001.0,97.6505,170.31890000000084,170359.61100000056,252318.04700000244,1001.0,100001.0,0.0,0,3007255.549261787,0,0,18.795347182886168,0.0,0,0,1015075118,0,448866487,0,333807199,842006993,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6502.247713865778,0,0,0,0,0,0,"dfcfs_30",5239.25
o-Virtual-Machine_23-03-22_09:54:09_t8,16,100000000,200,1000,1,99.99993400020328,28.097762781204295,0.0,67749.24999999994,177299.03400000161,1001.0,100072.01000000001,98.866,174.10117400000826,174299.0000000028,251648.42400000436,1001.0,100001.0,0.0,0,3009990.729228554,0,0,18.81244205767846,0.0,0,0,1001070827,0,449403952,0,347143530,828118455,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6718.838279069768,0,0,0,0,0,0,"dfcfs_30",5256.35
o-Virtual-Machine_23-03-22_09:54:09_t9,16,100000000,200,1000,1,99.99992700000365,28.003174894604836,0.0,66767.34999999998,184534.47800000443,1001.0,100001.0,98.25760999999999,179.88357100000073,179974.8720000002,356735.44000000163,1001.0,100001.0,0.0,0,3010139.849493007,0,0,18.813374059331295,0.0,0,0,1006800905,0,447889621,0,348323192,828372696,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6590.5844113562825,0,0,0,0,0,0,"dfcfs_30",5284.7
