Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Slowdown 99%,Slowdown99.9%,latency_short 99.9%,latency_long 99.9%,Tasks Stolen,Average Number of Steals,Throughput
o-Virtual-Machine_23-02-13_09:01:47_t0,14,100000000,1000,0.05,99.98681516,5.269814081,0,1192,101115,1001,10142.54,7.44908,13.458636,13459.07,112021.224,0,0,508309.4572
o-Virtual-Machine_23-02-13_09:01:47_t1,14,100000000,1000,0.1,99.99400645,10.87920119,0,1947,101723.652,1001,12261.65,10.84413,13.695413,13695.868,114350.952,0,0,1018743.035
o-Virtual-Machine_23-02-13_09:01:47_t2,14,100000000,1000,0.15,99.99095641,16.80560957,0,6105,102143.28,1001,13122.4,12.1894,13.885,13886.035,114562.2,0,0,1547965.907
o-Virtual-Machine_23-02-13_09:01:47_t3,14,100000000,1000,0.2,99.98882556,22.5922166,0,8129,102471.451,1001,13314,12.629,13.922451,13923,116336.417,0,0,2074758.994
o-Virtual-Machine_23-02-13_09:01:47_t4,14,100000000,1000,0.25,99.98570512,29.48746727,0,10003,103512.818,1001,13679,13.18802,14.075202,14082.279,116512,0,0,2605774.735
o-Virtual-Machine_23-02-13_09:01:47_t5,14,100000000,1000,0.3,99.98626474,35.32312963,0,10672,103992.588,1001,13774,13.35,14.339138,14341.95,116897.28,0,0,3133503.267
o-Virtual-Machine_23-02-13_09:01:47_t6,14,100000000,1000,0.35,99.98653531,40.41878457,0,11093,104602,1001,13809.5,13.466,14.40325,14406.736,118154.138,0,0,3657001.642
o-Virtual-Machine_23-02-13_09:01:47_t7,14,100000000,1000,0.4,99.9847071,46.05555206,0,11644,105767.728,1001,13907,13.632,14.634822,14636,118116.216,0,0,4167029.095
o-Virtual-Machine_23-02-13_09:01:47_t8,14,100000000,1000,0.45,99.98474682,52.02057985,0,12080,107749.336,1133,13995,13.767,14.864036,14868.137,127528.616,0,0,4702373.318
o-Virtual-Machine_23-02-13_09:01:47_t9,14,100000000,1000,0.5,99.98409901,58.38439732,0,12485,110180.491,1479,14239,13.876,15.177982,15180,135236.379,0,0,5234825.913
o-Virtual-Machine_23-02-13_09:01:47_t10,14,100000000,1000,0.55,99.98308066,64.27339539,0,12779,112274.66,1788,14482,13.989,15.465066,15466.71,137785.113,0,0,5767157.464
o-Virtual-Machine_23-02-13_09:01:47_t11,14,100000000,1000,0.6,99.98337648,70.57432561,0,13058,115699.644,2245,14704,14.213,15.799288,15805,178236.594,0,0,6287385.838
o-Virtual-Machine_23-02-13_09:01:47_t12,14,100000000,1000,0.65,99.98367026,75.5782183,0,13254,119067.158,2963,14876,14.403,16.021387,16025,188481.732,0,0,6808626.152
o-Virtual-Machine_23-02-13_09:01:47_t13,14,100000000,1000,0.7,99.98275179,82.10017599,0,13516,130374.016,4454,15245,14.69228,16.462228,16467.23,300361.114,0,0,7346873.357
o-Virtual-Machine_23-02-13_09:01:47_t14,14,100000000,1000,0.75,99.98277849,87.43910688,0,13706,167507.408,5646,15604,14.99051,17.114,17117.234,392868.835,0,0,7871937.666
o-Virtual-Machine_23-02-13_09:01:47_t15,14,100000000,1000,0.8,99.98322704,93.15997221,0,13896,266148.5,6859,16010,15.344,17.6519,17653.71,617332.647,0,0,8376164.879
o-Virtual-Machine_23-02-13_09:01:47_t16,14,100000000,1000,0.85,99.98412022,99.28747317,0,14231,2109342.922,8030,16607,16.085,21.28493056,18379.028,2724311.95,0,0,8919259.355
o-Virtual-Machine_23-02-13_09:01:47_t17,14,100000000,1000,0.9,99.98511339,99.96878707,0,14424,17128417.52,8277,16874,16.739,171.2841752,19211,22712454.34,0,0,9386250.441
o-Virtual-Machine_23-02-13_09:01:47_t18,14,100000000,1000,0.95,99.98481179,99.95674501,0,14715,25041728.12,8470.5,17314,17.296,250.4172812,20075.275,39214609.8,0,0,9851797.632
o-Virtual-Machine_23-02-13_09:01:47_t19,14,100000000,1000,1,99.98434117,99.96457278,0,15041,27152022,8638,17871,17.857,271.52022,21272.118,57962689.23,0,0,10312131.82
