RunID,Cores,SimDuration,AverageTaskDuration,Load,CPULoad,TaskLoad,WorkStealLoad,95% TailLatency,99.9% Tail Latency,MedianLatency,99% TailLatency,Slowdown99%,Slowdown99.9%,latency_short 99.9%,latency_long 99.9%,TasksStolen,AverageNumberofSteals,Throughput
3-02-12_14:04:04_t0,14,100000000,1000,0.05,99.99594726,5.620775611,0,1383,101232.812,1001,11729.04,9.06308,13.656208,13657.532,105988.624,0,0,505695.9114
3-02-12_14:04:04_t1,14,100000000,1000,0.1,99.99308672,11.48838301,0,2436,101862.2,1001,13071,11.6246,13.91544,13917,114129.568,0,0,1023013.664
3-02-12_14:04:04_t2,14,100000000,1000,0.15,99.99174116,16.32118334,0,5258.4,102007.904,1001,12974.04,12.01916,13.919,13919.557,114424.3,0,0,1539693.49
3-02-12_14:04:04_t3,14,100000000,1000,0.2,99.98923459,22.56079868,0,8042,102502.781,1001,13400.81,12.72762,13.981,13982.428,115125.572,0,0,2071447.001
3-02-12_14:04:04_t4,14,100000000,1000,0.25,99.98816529,28.36636201,0,9633.9,103100.302,1001,13653.16,13.159,14.457716,14463.052,115551.638,0,0,2589118.326
3-02-12_14:04:04_t5,14,100000000,1000,0.3,99.98682993,34.31347941,0,10428,103708.72,1001,13741.1,13.3251,14.44081,14442,117476.754,0,0,3111574.989
3-02-12_14:04:04_t6,14,100000000,1000,0.35,99.98629052,40.57201805,0,11286,104635.991,1001,13892,13.57,15.102919,15105.7,117026.981,0,0,3652300.41
3-02-12_14:04:04_t7,14,100000000,1000,0.4,99.98561434,46.02147486,0,11719,105928.45,1001,13969,13.6947,15.42687,15444.32,125727.76,0,0,4157273.658
3-02-12_14:04:04_t8,14,100000000,1000,0.45,99.98483806,51.68495755,0,12194,107326.535,1120,14359,13.877,18.147275,18199.96,119173.984,0,0,4681074.333
3-02-12_14:04:04_t9,14,100000000,1000,0.5,99.98455643,58.20296941,0,12673,110085.28,1470,15205.4,14.229,20.63976,20665.712,126130.892,0,0,5225594.645
3-02-12_14:04:04_t10,14,100000000,1000,0.55,99.98313589,64.92841405,0,13308,112723.225,1830,19724,16.2369,25.823,25826.934,163313.739,0,0,5759641.071
3-02-12_14:04:04_t11,14,100000000,1000,0.6,99.98366569,70.39037915,0,13848,114564.676,2274,22951.17,19.76717,30.029672,30071.012,156103.88,0,0,6285554.322
3-02-12_14:04:04_t12,14,100000000,1000,0.65,99.9833459,76.6759437,0,18138,119195.79,3629,34070.79,29.00293,45.10986,45148.192,191012.8,0,0,6810397.416
3-02-12_14:04:04_t13,14,100000000,1000,0.7,99.98341311,81.99934974,0,27595,124583.204,5666,54242.24,46.52848,67.616144,67635.216,203987.99,0,0,7342845.6
3-02-12_14:04:04_t14,14,100000000,1000,0.75,99.98428744,86.48704641,0,41808,148001.87,7986,84875.4,72.5547,119.75805,119932.311,264857.556,0,0,7853651.02
3-02-12_14:04:04_t15,14,100000000,1000,0.8,99.98400594,93.27353187,0,90089.35,222267.141,14337,139933.41,133.70011,212.129337,212474.065,313772.631,0,0,8385468.355
3-02-12_14:04:04_t16,14,100000000,1000,0.85,99.98406173,99.32438691,0,601640.75,786599.075,169978,724685.45,723.8573,783.86313,783921.02,905232.988,0,0,8875262.969
3-02-12_14:04:04_t17,14,100000000,1000,0.9,99.98496502,99.78792541,0,5078932.5,5920177.64,2894626,5523373.2,5522.3278,5917.13765,5918179.076,6070010.88,0,0,8965278.883
3-02-12_14:04:04_t18,14,100000000,1000,0.95,99.9853388,99.79043187,0,9858717.8,11065029.47,5072405,10460763.32,10459.28792,11063.7699,11064480.16,11220749.36,0,0,8955220.418
3-02-12_14:04:04_t19,14,100000000,1000,1,99.9849981,99.82206767,0,14139920.8,15278077.84,7379983,14866041.44,14863.6953,15277.77829,15278164.98,15216296.23,0,0,8952333.17
