Run ID,Cores,Sim Duration,PERSEPHONE_OVERHEAD,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Slowdown 99%,Slowdown99.9%,latency_short 99.9%,latency_long 99.9%,50% latency_short, 50% latency_long,Tasks Stolen,Average Number of Steals,Throughput, orphan_count, orphan time 99.9%Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description, 99% Idle Interval
o-Virtual-Machine_23-03-22_16:17:35_t0,16,100000000,130,1000,1,93.94756603879208,66.95243801847471,0.0,1968.0,100484.14900000009,1233.0,2891.0,2.538,4.133,4140.0,126993.88600000073,1231.0,100227.0,0.0,0,6028519.276577687,0,0,37.67824547861054,0.0,0,0,322007788,0,1005926903,0,389276634,148330409,0,0,0,0,0.0,0.0,0.0,0,0.0,0,331.1870857192147,0,0,0,0,0,0,"persephone_60",4003.8
o-Virtual-Machine_23-03-22_16:17:35_t1,16,100000000,130,1000,1,93.947385743415,66.60373654683532,0.0,1957.0,100489.0,1231.0,2915.0,2.557,4.309,4310.3630000001285,131849.6250000007,1229.0,100224.0,0.0,0,6018657.893469738,0,0,37.61661183418586,0.0,0,0,324460897,0,1000685809,0,395422112,147389579,0,0,0,0,0.0,0.0,0.0,0,0.0,0,328.8897777910698,0,0,0,0,0,0,"persephone_60",3989.5
o-Virtual-Machine_23-03-22_16:17:35_t2,16,100000000,130,1000,1,93.94703484938547,66.83925803413379,0.0,1966.0,100514.0,1231.0,3144.3000000000466,2.5963000000000465,5.204,5207.465000000084,132764.1240000009,1229.0,100235.0,0.0,0,6005709.219257802,0,0,37.53568262036126,0.0,0,0,320927471,0,1004221914,0,393218919,145825057,0,0,0,0,0.0,0.0,0.0,0,0.0,0,333.6980540185923,0,0,0,0,0,0,"persephone_60",4036.0
o-Virtual-Machine_23-03-22_16:17:35_t3,16,100000000,130,1000,1,93.94747268680874,66.88822833594313,0.0,1973.0,100501.0,1234.0,3448.0,2.69,6.333270000000252,6342.544000000693,155157.9120000091,1232.0,100230.0,0.0,0,6024558.072141417,0,0,37.65348795088386,0.0,0,0,321649326,0,1004961291,0,391239603,147067026,0,0,0,0,0.0,0.0,0.0,0,0.0,0,343.0528436931494,0,0,0,0,0,0,"persephone_60",3995.55
o-Virtual-Machine_23-03-22_16:17:35_t4,16,100000000,130,1000,1,93.94739304209492,66.64790153084627,0.0,1944.0,100508.0,1231.0,2819.0,2.476,5.215944000000134,5227.796000000089,131634.1350000017,1230.0,100226.0,0.0,0,6015287.473579261,0,0,37.59554670987038,0.0,0,0,324059840,0,1001349799,0,394899119,147157659,0,0,0,0,0.0,0.0,0.0,0,0.0,0,328.85662536635806,0,0,0,0,0,0,"persephone_60",4010.0
o-Virtual-Machine_23-03-22_16:17:35_t5,16,100000000,130,1000,1,93.94734589738013,67.014081803735,0.0,1957.0,100493.0,1233.0,2964.0,2.536,4.9974670000000625,5000.508000000031,152990.12000000526,1231.0,100227.0,0.0,0,6025336.866824829,0,0,37.65835541765518,0.0,0,0,320705489,0,1006851453,0,389253947,147291612,0,0,0,0,0.0,0.0,0.0,0,0.0,0,332.5859685926437,0,0,0,0,0,0,"persephone_60",4002.6
o-Virtual-Machine_23-03-22_16:17:35_t6,16,100000000,130,1000,1,93.94739414407329,66.51081103213984,0.0,1952.0,100476.79700000002,1231.0,2936.0,2.532,4.340797000000021,4351.773000000045,136378.50000000847,1229.0,100234.0,0.0,0,6012038.677351491,0,0,37.575241733446816,0.0,0,0,325097560,0,999289697,0,396862049,147213046,0,0,0,0,0.0,0.0,0.0,0,0.0,0,328.3132613888131,0,0,0,0,0,0,"persephone_60",4015.65
o-Virtual-Machine_23-03-22_16:17:35_t7,16,100000000,130,1000,1,93.94811476603688,66.40141605650992,0.0,1952.0,100473.48100000003,1233.0,2932.8099999999395,2.547,4.865481000000029,4876.320000000298,129912.4540000009,1232.0,100225.0,0.0,0,6035196.680641825,0,0,37.71997925401141,0.0,0,0,327967386,0,997651966,0,395812954,150110809,0,0,0,0,0.0,0.0,0.0,0,0.0,0,331.8792517232238,0,0,0,0,0,0,"persephone_60",3991.05
o-Virtual-Machine_23-03-22_16:17:35_t8,16,100000000,130,1000,1,93.94731650330505,66.21622355110726,0.0,1927.0,100493.88600000006,1230.0,2752.0,2.464,4.220658000000171,4233.45400000026,136222.31600000506,1229.0,100232.0,0.0,0,6011148.196655541,0,0,37.569676229097134,0.0,0,0,328529677,0,994862330,0,399914930,148751579,0,0,0,0,0.0,0.0,0.0,0,0.0,0,326.68573567453814,0,0,0,0,0,0,"persephone_60",4016.8
o-Virtual-Machine_23-03-22_16:17:35_t9,16,100000000,130,1000,1,93.9473254565884,67.05483838204424,0.0,1953.0,100516.0,1232.0,2957.0,2.534,5.912456000000239,5919.0,133928.1620000025,1231.0,100233.0,0.0,0,6023188.674898492,0,0,37.64492921811558,0.0,0,0,320959697,0,1007463645,0,387743683,148304424,0,0,0,0,0.0,0.0,0.0,0,0.0,0,334.3022418353065,0,0,0,0,0,0,"persephone_60",3994.8
